ALTITUDE,NOME DO MUNICÍPIO,MEAN,MIN,MAX,POPULAÇÃO ESTIMADA,CATEGORIA CIDADE
0-300m,Serra dos Aimorés,195.0,81,297,8767.0,pequena
0-300m,Pirapetinga,202.0,89,348,10818.0,pequena
0-300m,Salto da Divisa,217.0,116,809,7107.0,pequena
0-300m,Alpercata,219.0,165,299,7478.0,pequena
0-300m,Tumiritinga,230.0,126,470,6669.0,pequena
0-300m,Nanuque,232.0,89,561,41829.0,pequena
0-300m,Goiabeira,233.0,157,470,3279.0,pequena
0-300m,Palma,234.0,112,681,6746.0,pequena
0-300m,Recreio,235.0,153,583,10667.0,pequena
0-300m,Itueta,236.0,85,725,6087.0,pequena
0-300m,Patrocínio do Muriaé,239.0,183,353,5617.0,pequena
0-300m,Periquito,256.0,189,375,7103.0,pequena
0-300m,Naque,257.0,195,339,6824.0,pequena
0-300m,Resplendor,260.0,88,1021,17675.0,pequena
0-300m,Fernandes Tourinho,261.0,186,443,3304.0,pequena
0-300m,Mathias Lobato,264.0,187,569,3373.0,pequena
0-300m,Galiléia,264.0,125,823,7061.0,pequena
0-300m,Estrela Dalva,267.0,113,508,2471.0,pequena
0-300m,Laranjal,273.0,139,643,6799.0,pequena
0-300m,Capitão Andrade,275.0,179,572,5317.0,pequena
0-300m,Volta Grande,279.0,139,439,5288.0,pequena
0-300m,Carlos Chagas,284.0,121,585,19971.0,pequena
0-300m,Sobrália,286.0,192,602,5842.0,pequena
0-300m,Marilac,287.0,214,497,4275.0,pequena
0-300m,Engenheiro Caldas,288.0,195,536,10962.0,pequena
0-300m,Frei Inocêncio,291.0,173,741,9487.0,pequena
0-300m,Aimorés,294.0,63,968,25694.0,pequena
0-300m,Governador Valadares,299.0,139,914,278363.0,grande
300-600m,São João do Oriente,304.0,217,601,7888.0,pequena
300-600m,Cataguases,306.0,161,930,74171.0,média
300-600m,Umburatiba,307.0,201,475,2727.0,pequena
300-600m,Santana de Cataguases,309.0,219,617,3836.0,pequena
300-600m,Jampruca,309.0,199,548,5361.0,pequena
300-600m,Cuparaque,310.0,162,774,4947.0,pequena
300-600m,Belo Oriente,310.0,197,752,25619.0,pequena
300-600m,Ipaba,312.0,217,664,18068.0,pequena
300-600m,Pavão,315.0,188,557,8739.0,pequena
300-600m,Pocrane,319.0,169,940,8940.0,pequena
300-600m,Leopoldina,320.0,156,634,53145.0,média
300-600m,Machacalis,323.0,237,456,7219.0,pequena
300-600m,Barão de Monte Alto,323.0,198,616,5706.0,pequena
300-600m,Bugre,333.0,202,679,4134.0,pequena
300-600m,Jordânia,339.0,166,877,10826.0,pequena
300-600m,São Pedro dos Ferros,340.0,263,731,8284.0,pequena
300-600m,Córrego Novo,345.0,254,781,3032.0,pequena
300-600m,Jacinto,346.0,149,765,12537.0,pequena
300-600m,Itanhomi,348.0,190,703,12340.0,pequena
300-600m,São José do Goiabal,352.0,263,709,5673.0,pequena
300-600m,Timóteo,355.0,231,692,87542.0,média
300-600m,Campanário,357.0,225,658,3733.0,pequena
300-600m,Ataléia,362.0,178,991,14039.0,pequena
300-600m,Além Paraíba,364.0,151,890,35720.0,pequena
300-600m,Crisólita,365.0,222,817,6525.0,pequena
300-600m,Taparuba,365.0,197,711,3203.0,pequena
300-600m,Divino das Laranjeiras,370.0,236,728,5082.0,pequena
300-600m,Iapu,371.0,192,720,10870.0,pequena
300-600m,Bertópolis,372.0,233,763,4664.0,pequena
300-600m,São João do Manteninha,374.0,207,643,5650.0,pequena
300-600m,São Geraldo do Baixio,378.0,198,761,3834.0,pequena
300-600m,Central de Minas,379.0,232,627,7072.0,pequena
300-600m,Rio Casca,383.0,271,683,14247.0,pequena
300-600m,Chiador,386.0,244,900,2807.0,pequena
300-600m,Marliéria,388.0,251,921,4127.0,pequena
300-600m,Pescador,391.0,299,536,4293.0,pequena
300-600m,Mantena,392.0,192,898,28061.0,pequena
300-600m,Carneirinho,392.0,308,494,9985.0,pequena
300-600m,Santana do Paraíso,396.0,222,1019,31604.0,pequena
300-600m,Rodeiro,400.0,275,695,7653.0,pequena
300-600m,Tarumirim,402.0,208,1024,14672.0,pequena
