Município,Intervalo de Altitude,Altitude da Sede (m),IDHM,População total
Senador Amaral,1100-1500m,1497,0.6609999999999999,5219
Gonçalves,1100-1500m,1380,0.6829999999999999,4220
Marmelópolis,1100-1500m,1372,0.65,2968
Bom Repouso,1100-1500m,1366,0.653,10457
Maria da Fé,1100-1500m,1312,0.7020000000000001,14216
Delfim Moreira,1100-1500m,1287,0.669,7971
Munhoz,1100-1500m,1233,0.647,6257
São Thomé das Letras,1100-1500m,1226,0.667,6655
Datas,1100-1500m,1221,0.616,5211
Poços de Caldas,1100-1500m,1214,0.779,152435
Ipuiúna,1100-1500m,1202,0.6859999999999999,9521
Ouro Preto,1100-1500m,1199,0.741,70281
Bocaina de Minas,1100-1500m,1185,0.645,5007
Serra do Salitre,1100-1500m,1175,0.696,10549
Presidente Kubitschek,1100-1500m,1172,0.595,2959
Wenceslau Braz,1100-1500m,1159,0.6779999999999999,2553
Ressaquinha,1100-1500m,1158,0.6829999999999999,4711
Pratinha,1100-1500m,1154,0.721,3265
Bueno Brandão,1100-1500m,1150,0.6579999999999999,10892
Diamantina,1100-1500m,1147,0.716,45880
Nova Resende,1100-1500m,1146,0.6709999999999999,15374
Liberdade,1100-1500m,1143,0.672,5346
Barbacena,1100-1500m,1140,0.769,126284
Alagoa,1100-1500m,1138,0.649,2709
Tapira,1100-1500m,1129,0.7120000000000001,4112
Santa Rita de Ibitipoca,1100-1500m,1125,0.63,3583
Itacambira,1100-1500m,1118,0.628,4988
Bom Jardim de Minas,1100-1500m,1118,0.6729999999999999,6501
Caldas,1100-1500m,1117,0.687,13633
Arantina,1100-1500m,1107,0.6970000000000001,2823
Santa Rita de Caldas,850-1100m,1099,0.69,9027
Carvalhos,850-1100m,1097,0.6459999999999999,4556
Carandaí,850-1100m,1094,0.6970000000000001,23346
Conceição das Pedras,850-1100m,1091,0.6679999999999999,2749
São Tiago,850-1100m,1090,0.662,10561
Toledo,850-1100m,1086,0.6609999999999999,5764
Lagoa Dourada,850-1100m,1081,0.6759999999999999,12256
Carmo do Paranaíba,850-1100m,1079,0.705,29735
Campestre,850-1100m,1074,0.698,20686
Gouveia,850-1100m,1073,0.6809999999999999,11681
Matutina,850-1100m,1069,0.7070000000000001,3761
Carrancas,850-1100m,1068,0.725,3948
Cristina,850-1100m,1064,0.6679999999999999,10210
Antônio Carlos,850-1100m,1062,0.6829999999999999,11114
São Gotardo,850-1100m,1060,0.736,31819
Tocos do Moji,850-1100m,1060,0.696,3950
Cruzília,850-1100m,1055,0.695,14591
Alfredo Vasconcelos,850-1100m,1055,0.675,6075
Consolação,850-1100m,1054,0.6729999999999999,1727
Ibiraci,850-1100m,1052,0.706,12176
Campos Altos,850-1100m,1051,0.7020000000000001,14206
Cristiano Otoni,850-1100m,1045,0.695,5007
Desterro de Entre Rios,850-1100m,1044,0.639,7002
Santana do Garambéu,850-1100m,1043,0.667,2234
Camanducaia,850-1100m,1039,0.6890000000000001,21080
Muzambinho,850-1100m,1038,0.74,20430
Congonhas do Norte,850-1100m,1038,0.568,4943
Ritápolis,850-1100m,1038,0.653,4925
Resende Costa,850-1100m,1036,0.685,10913
Ibertioga,850-1100m,1027,0.657,5036
Ouro Branco,850-1100m,1025,0.764,35268
