STATE,NAME,DISTANCE
AC,Mâncio Lima/AC,82.74110538693797
AL,Pariconha/AL,162.01176387097468
AM,Guajará/AM,636.0071636858897
AP,Oiapoque/AP,48.64340012934999
BA,Luís Eduardo Magalhães/BA,2389.630314791411
CE,Penaforte/CE,559.676860146345
ES,Pedro Canário/ES,157.20910259652206
GO,Divinópolis de Goiás/GO,1076.0184587614553
MA,Alto Parnaíba/MA,1118.0486087504225
MG,Carneirinho/MG,5854.201281780113
MS,Corumbá/MS,324.8598271965869
MT,Rondolândia/MT,972.8706136445899
PA,Jacareacanga/PA,1278.4737215578805
PB,Cachoeira dos Índios/PB,468.66208679083627
PE,Afrânio/PE,804.5459662853407
PI,Cristalândia do Piauí/PI,1097.389974506803
PR,Guaraqueçaba/PR,1528.8337810166001
RJ,Parati/RJ,197.7098994189999
RN,Venha-Ver/RN,328.37377450353944
RO,Nova Mamoré/RO,170.73693191707605
RR,Uiramutã/RR,32.98738381016901
RS,Barra do Quaraí/RS,2610.6210102725277
SC,Dionísio Cerqueira/SC,927.4266026417014
SE,Canindé de São Francisco/SE,88.63419534842596
SP,Rosana/SP,2983.4675223577988
TO,Araguaçu/TO,589.6467329647332
